seed,previous_layer,layer,transition,accuracy,delta_euclidean_knn_loss,delta_geodesic_knn_loss,delta_distance_loss,delta_arc_r2_gain,delta_first_pc_gain,previous_euclidean_knn,current_euclidean_knn,previous_geodesic_knn,current_geodesic_knn,previous_distance_corr,current_distance_corr,previous_arc_r2,current_arc_r2,scheme_label
7,hidden_2,hidden_3,hidden_2 -> hidden_3,0.8983333333333333,0.049633333333333196,0.008266666666666755,0.02579827936619694,-0.0002876263563523773,0.027478039264678955,0.9144666666666666,0.8648333333333335,0.4778666666666667,0.46959999999999996,0.9719148436043632,0.9461165642381663,0.998726587886304,0.9984389615299516,intrinsic_arc
7,hidden_3,logits,hidden_3 -> logits,0.8983333333333333,0.02956666666666674,0.011599999999999944,0.027314326581320936,-0.0001202176243859654,0.043453216552734375,0.8648333333333335,0.8352666666666667,0.46959999999999996,0.458,0.9461165642381663,0.9188022376568453,0.9984389615299516,0.9983187439055656,intrinsic_arc
8,input,hidden_1,input -> hidden_1,0.924,0.036699999999999844,0.00173333333333342,0.006852221623659505,2.5818855855175293e-05,-0.08636996150016785,1.0,0.9633000000000002,0.4913,0.4895666666666666,1.0,0.9931477783763405,0.9986898536838962,0.9987156725397514,intrinsic_arc
8,hidden_1,hidden_2,hidden_1 -> hidden_2,0.924,0.03736666666666666,0.01359999999999989,0.007267634435988324,-8.686658464318597e-05,0.005463153123855591,0.9633000000000002,0.9259333333333335,0.4895666666666666,0.4759666666666667,0.9931477783763405,0.9858801439403522,0.9987156725397514,0.9986288059551082,intrinsic_arc
8,hidden_2,hidden_3,hidden_2 -> hidden_3,0.924,0.031366666666666765,0.008600000000000052,0.02549650253191038,-0.00014637126589023275,-0.014599025249481201,0.9259333333333335,0.8945666666666667,0.4759666666666667,0.46736666666666665,0.9858801439403522,0.9603836414084418,0.9986288059551082,0.9984824346892179,intrinsic_arc
8,hidden_3,logits,hidden_3 -> logits,0.924,0.02513333333333334,0.005133333333333323,0.03740736234298003,-0.0005993119101479483,0.05589604377746582,0.8945666666666667,0.8694333333333334,0.46736666666666665,0.46223333333333333,0.9603836414084418,0.9229762790654618,0.9984824346892179,0.99788312277907,intrinsic_arc
9,input,hidden_1,input -> hidden_1,0.922,0.048833333333333284,0.00819999999999993,0.010474139806573635,6.241643306637013e-05,-0.07582372426986694,1.0,0.9511666666666667,0.49866666666666665,0.4904666666666667,1.0,0.9895258601934264,0.9986532598941781,0.9987156763272445,intrinsic_arc
9,hidden_1,hidden_2,hidden_1 -> hidden_2,0.922,0.04836666666666656,0.01483333333333342,0.019816894449405154,-0.00011414000194565066,0.0498928427696228,0.9511666666666667,0.9028000000000002,0.4904666666666667,0.4756333333333333,0.9895258601934264,0.9697089657440212,0.9987156763272445,0.9986015363252988,intrinsic_arc
9,hidden_2,hidden_3,hidden_2 -> hidden_3,0.922,0.03986666666666672,0.009799999999999975,0.016067910558035026,-0.00027879542163167237,-0.015811443328857422,0.9028000000000002,0.8629333333333334,0.4756333333333333,0.4658333333333333,0.9697089657440212,0.9536410551859862,0.9986015363252988,0.9983227409036671,intrinsic_arc
9,hidden_3,logits,hidden_3 -> logits,0.922,0.05046666666666677,0.018900000000000028,0.04188622688993926,-0.00046030509168815126,0.10541260242462158,0.8629333333333334,0.8124666666666667,0.4658333333333333,0.4469333333333333,0.9536410551859862,0.9117548282960469,0.9983227409036671,0.997862435811979,intrinsic_arc
